,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
0,0.137,https://api.spotify.com/v1/audio-analysis/7DhvNzyMM8jJWcfykG3psB,0.403,170560,0.711,7DhvNzyMM8jJWcfykG3psB,0,8,0.109,-4.189,1,0.0569,203.803,4,https://api.spotify.com/v1/tracks/7DhvNzyMM8jJWcfykG3psB,audio_features,spotify:track:7DhvNzyMM8jJWcfykG3psB,0.801
0,0.639,https://api.spotify.com/v1/audio-analysis/69AIpwGNLxr4qS1X5ynx60,0.586,167480,0.559,69AIpwGNLxr4qS1X5ynx60,0,4,0.0872,-6.725,1,0.05,177.945,4,https://api.spotify.com/v1/tracks/69AIpwGNLxr4qS1X5ynx60,audio_features,spotify:track:69AIpwGNLxr4qS1X5ynx60,0.437
0,0.182,https://api.spotify.com/v1/audio-analysis/19ZzEzb4BVK1wVO4brrmZz,0.59,174681,0.846,19ZzEzb4BVK1wVO4brrmZz,0,4,0.53,-4.251,1,0.0396,146.028,4,https://api.spotify.com/v1/tracks/19ZzEzb4BVK1wVO4brrmZz,audio_features,spotify:track:19ZzEzb4BVK1wVO4brrmZz,0.733
0,0.147,https://api.spotify.com/v1/audio-analysis/59xdsxc0QGW6TDA3ZuQ9tS,0.571,231832,0.618,59xdsxc0QGW6TDA3ZuQ9tS,0,10,0.159,-4.966,1,0.0445,138.03,4,https://api.spotify.com/v1/tracks/59xdsxc0QGW6TDA3ZuQ9tS,audio_features,spotify:track:59xdsxc0QGW6TDA3ZuQ9tS,0.288
0,0.0513,https://api.spotify.com/v1/audio-analysis/4k3lPl8YTKuY8c1HelVnm3,0.501,224213,0.815,4k3lPl8YTKuY8c1HelVnm3,0,1,0.106,-4.865,1,0.0436,160.087,4,https://api.spotify.com/v1/tracks/4k3lPl8YTKuY8c1HelVnm3,audio_features,spotify:track:4k3lPl8YTKuY8c1HelVnm3,0.46
0,0.0527,https://api.spotify.com/v1/audio-analysis/7IWV29mryrqtO0JVgnPtfv,0.598,186107,0.846,7IWV29mryrqtO0JVgnPtfv,0,6,0.113,-4.956,1,0.0355,144.04,4,https://api.spotify.com/v1/tracks/7IWV29mryrqtO0JVgnPtfv,audio_features,spotify:track:7IWV29mryrqtO0JVgnPtfv,0.328
0,0.00322,https://api.spotify.com/v1/audio-analysis/0XxNamjHxu0ercIQmWNkRT,0.502,251293,0.662,0XxNamjHxu0ercIQmWNkRT,0.00274,9,0.119,-4.041,1,0.0293,110.917,4,https://api.spotify.com/v1/tracks/0XxNamjHxu0ercIQmWNkRT,audio_features,spotify:track:0XxNamjHxu0ercIQmWNkRT,0.4
0,0.0975,https://api.spotify.com/v1/audio-analysis/4Qum1kECNQrpREev5fvAQ4,0.492,203037,0.708,4Qum1kECNQrpREev5fvAQ4,0,10,0.12,-4.639,1,0.0334,161.989,4,https://api.spotify.com/v1/tracks/4Qum1kECNQrpREev5fvAQ4,audio_features,spotify:track:4Qum1kECNQrpREev5fvAQ4,0.697
0,0.289,https://api.spotify.com/v1/audio-analysis/3HGnIIdHYIbkowzLk8UHbE,0.678,194545,0.528,3HGnIIdHYIbkowzLk8UHbE,0,10,0.0734,-7.317,1,0.0551,79.018,4,https://api.spotify.com/v1/tracks/3HGnIIdHYIbkowzLk8UHbE,audio_features,spotify:track:3HGnIIdHYIbkowzLk8UHbE,0.614
0,0.017,https://api.spotify.com/v1/audio-analysis/0cvmA0xg8FkzKvBnO8987X,0.586,171865,0.931,0cvmA0xg8FkzKvBnO8987X,0,7,0.0498,-4.096,1,0.0453,134.051,4,https://api.spotify.com/v1/tracks/0cvmA0xg8FkzKvBnO8987X,audio_features,spotify:track:0cvmA0xg8FkzKvBnO8987X,0.472
0,0.222,https://api.spotify.com/v1/audio-analysis/50fXFVykkwS6Om9eqjTK44,0.559,157907,0.66,50fXFVykkwS6Om9eqjTK44,0,7,0.193,-4.143,1,0.0512,163.957,4,https://api.spotify.com/v1/tracks/50fXFVykkwS6Om9eqjTK44,audio_features,spotify:track:50fXFVykkwS6Om9eqjTK44,0.574
0,0.506,https://api.spotify.com/v1/audio-analysis/7sGULdccMGSggXDq7ZjT3w,0.733,152000,0.813,7sGULdccMGSggXDq7ZjT3w,0,0,0.303,-4.752,1,0.0608,90.002,4,https://api.spotify.com/v1/tracks/7sGULdccMGSggXDq7ZjT3w,audio_features,spotify:track:7sGULdccMGSggXDq7ZjT3w,0.487
0,0.0957,https://api.spotify.com/v1/audio-analysis/6JSH36hKFusIabTu1egYO5,0.714,147694,0.766,6JSH36hKFusIabTu1egYO5,0.00183,6,0.0595,-4.42,1,0.0365,114.964,4,https://api.spotify.com/v1/tracks/6JSH36hKFusIabTu1egYO5,audio_features,spotify:track:6JSH36hKFusIabTu1egYO5,0.665
0,0.00036,https://api.spotify.com/v1/audio-analysis/5Ykc3Wr4L4wef5QDdaaxM7,0.473,198324,0.802,5Ykc3Wr4L4wef5QDdaaxM7,0,10,0.304,-4.497,1,0.037,145.983,4,https://api.spotify.com/v1/tracks/5Ykc3Wr4L4wef5QDdaaxM7,audio_features,spotify:track:5Ykc3Wr4L4wef5QDdaaxM7,0.453
0,0.323,https://api.spotify.com/v1/audio-analysis/6zuVzhogxotQnXIxr2wLE5,0.504,180026,0.746,6zuVzhogxotQnXIxr2wLE5,3.93e-06,6,0.115,-4.018,1,0.029,92.955,4,https://api.spotify.com/v1/tracks/6zuVzhogxotQnXIxr2wLE5,audio_features,spotify:track:6zuVzhogxotQnXIxr2wLE5,0.596
0,0.508,https://api.spotify.com/v1/audio-analysis/1tf4Bfk8JIKryLpWYRvyiI,0.653,206507,0.623,1tf4Bfk8JIKryLpWYRvyiI,3.32e-06,8,0.285,-4.56,1,0.0244,100.021,4,https://api.spotify.com/v1/tracks/1tf4Bfk8JIKryLpWYRvyiI,audio_features,spotify:track:1tf4Bfk8JIKryLpWYRvyiI,0.718
0,0.00717,https://api.spotify.com/v1/audio-analysis/03kCiUPjdAV9ur9ugm8PQT,0.472,176147,0.937,03kCiUPjdAV9ur9ugm8PQT,0,0,0.11,-4.028,0,0.0567,140.073,4,https://api.spotify.com/v1/tracks/03kCiUPjdAV9ur9ugm8PQT,audio_features,spotify:track:03kCiUPjdAV9ur9ugm8PQT,0.454
0,0.00279,https://api.spotify.com/v1/audio-analysis/4FdPnT2cFrpWCmWZd7GXc3,0.471,213719,0.846,4FdPnT2cFrpWCmWZd7GXc3,2.86e-06,0,0.145,-5.269,1,0.0389,100.089,4,https://api.spotify.com/v1/tracks/4FdPnT2cFrpWCmWZd7GXc3,audio_features,spotify:track:4FdPnT2cFrpWCmWZd7GXc3,0.539
0,0.14,https://api.spotify.com/v1/audio-analysis/7JjymfuNMxQgOQJ4mGOdbg,0.731,166800,0.674,7JjymfuNMxQgOQJ4mGOdbg,0,10,0.114,-5.018,0,0.0397,99.05,4,https://api.spotify.com/v1/tracks/7JjymfuNMxQgOQJ4mGOdbg,audio_features,spotify:track:7JjymfuNMxQgOQJ4mGOdbg,0.623
0,0.117,https://api.spotify.com/v1/audio-analysis/4aRAElCM6ve3OISZnU7adb,0.626,215000,0.84,4aRAElCM6ve3OISZnU7adb,0,10,0.216,-6.945,0,0.0533,144.087,4,https://api.spotify.com/v1/tracks/4aRAElCM6ve3OISZnU7adb,audio_features,spotify:track:4aRAElCM6ve3OISZnU7adb,0.737
0,0.114,https://api.spotify.com/v1/audio-analysis/3ZozFqJJlDBNIm4xqxn2ZD,0.649,161853,0.76,3ZozFqJJlDBNIm4xqxn2ZD,0,1,0.317,-6.487,1,0.0574,80.018,4,https://api.spotify.com/v1/tracks/3ZozFqJJlDBNIm4xqxn2ZD,audio_features,spotify:track:3ZozFqJJlDBNIm4xqxn2ZD,0.843
0,0.0891,https://api.spotify.com/v1/audio-analysis/3J5jotqUAjU479WhAiNkpU,0.563,212720,0.847,3J5jotqUAjU479WhAiNkpU,0,1,0.121,-4.493,1,0.0468,96.06,4,https://api.spotify.com/v1/tracks/3J5jotqUAjU479WhAiNkpU,audio_features,spotify:track:3J5jotqUAjU479WhAiNkpU,0.666
0,0.151,https://api.spotify.com/v1/audio-analysis/3TuMOIzXkhKFDNHyQ7Mo8J,0.553,214416,0.609,3TuMOIzXkhKFDNHyQ7Mo8J,0,1,0.112,-6.436,1,0.0469,73.903,4,https://api.spotify.com/v1/tracks/3TuMOIzXkhKFDNHyQ7Mo8J,audio_features,spotify:track:3TuMOIzXkhKFDNHyQ7Mo8J,0.471
0,0.0423,https://api.spotify.com/v1/audio-analysis/0R1REdJZIDy7IS3DybdBce,0.515,187433,0.838,0R1REdJZIDy7IS3DybdBce,0.000211,7,0.115,-3.82,1,0.0306,156.033,4,https://api.spotify.com/v1/tracks/0R1REdJZIDy7IS3DybdBce,audio_features,spotify:track:0R1REdJZIDy7IS3DybdBce,0.328
0,0.0224,https://api.spotify.com/v1/audio-analysis/4320xN7twzyH6QAGM3bvYZ,0.698,261359,0.794,4320xN7twzyH6QAGM3bvYZ,0,0,0.167,-5.542,1,0.0334,125.982,4,https://api.spotify.com/v1/tracks/4320xN7twzyH6QAGM3bvYZ,audio_features,spotify:track:4320xN7twzyH6QAGM3bvYZ,0.299
0,0.0142,https://api.spotify.com/v1/audio-analysis/1AIlY4mVcOY34SNA4CTVbC,0.582,182067,0.724,1AIlY4mVcOY34SNA4CTVbC,0,5,0.0484,-3.21,1,0.0319,76.986,4,https://api.spotify.com/v1/tracks/1AIlY4mVcOY34SNA4CTVbC,audio_features,spotify:track:1AIlY4mVcOY34SNA4CTVbC,0.495
0,0.00853,https://api.spotify.com/v1/audio-analysis/0pJLfGfCgmr0z9WRjwY7A3,0.645,162973,0.732,0pJLfGfCgmr0z9WRjwY7A3,2.62e-05,3,0.198,-5.089,1,0.0453,95.02,4,https://api.spotify.com/v1/tracks/0pJLfGfCgmr0z9WRjwY7A3,audio_features,spotify:track:0pJLfGfCgmr0z9WRjwY7A3,0.708
0,0.222,https://api.spotify.com/v1/audio-analysis/4MDYIbU6I29Gjiu7JATTIJ,0.529,174360,0.755,4MDYIbU6I29Gjiu7JATTIJ,0,1,0.0986,-5.864,1,0.125,96.86,4,https://api.spotify.com/v1/tracks/4MDYIbU6I29Gjiu7JATTIJ,audio_features,spotify:track:4MDYIbU6I29Gjiu7JATTIJ,0.528
0,0.0443,https://api.spotify.com/v1/audio-analysis/2NYOqKy4VX6dqVtzrv1Cx9,0.494,186373,0.782,2NYOqKy4VX6dqVtzrv1Cx9,0,3,0.0921,-4.228,1,0.0409,75.932,4,https://api.spotify.com/v1/tracks/2NYOqKy4VX6dqVtzrv1Cx9,audio_features,spotify:track:2NYOqKy4VX6dqVtzrv1Cx9,0.44
0,0.0379,https://api.spotify.com/v1/audio-analysis/0ODaBMQ3tbTefbmbMWTwdT,0.463,164347,0.76,0ODaBMQ3tbTefbmbMWTwdT,0,2,0.115,-5.958,1,0.11,123.899,4,https://api.spotify.com/v1/tracks/0ODaBMQ3tbTefbmbMWTwdT,audio_features,spotify:track:0ODaBMQ3tbTefbmbMWTwdT,0.65
0,0.00838,https://api.spotify.com/v1/audio-analysis/1fff5nZGyRJtFLkOrSSwOU,0.464,216764,0.755,1fff5nZGyRJtFLkOrSSwOU,0,4,0.0989,-5.707,1,0.0354,155.973,4,https://api.spotify.com/v1/tracks/1fff5nZGyRJtFLkOrSSwOU,audio_features,spotify:track:1fff5nZGyRJtFLkOrSSwOU,0.449
0,0.0446,https://api.spotify.com/v1/audio-analysis/5YsPrfAtcCzMIc4BHTsxP5,0.603,176533,0.927,5YsPrfAtcCzMIc4BHTsxP5,0,9,0.0565,-2.598,1,0.0562,109.938,4,https://api.spotify.com/v1/tracks/5YsPrfAtcCzMIc4BHTsxP5,audio_features,spotify:track:5YsPrfAtcCzMIc4BHTsxP5,0.815
0,0.0931,https://api.spotify.com/v1/audio-analysis/0OCY4cY7ZhmFMLR8Zipb51,0.567,167678,0.868,0OCY4cY7ZhmFMLR8Zipb51,0,8,0.0986,-4.699,1,0.0605,154.07,4,https://api.spotify.com/v1/tracks/0OCY4cY7ZhmFMLR8Zipb51,audio_features,spotify:track:0OCY4cY7ZhmFMLR8Zipb51,0.517
