,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
0,0.000347,https://api.spotify.com/v1/audio-analysis/5aFGo8wHEntVxFI8IF7Wuj,0.601,236933,0.723,5aFGo8wHEntVxFI8IF7Wuj,0.0011,8,0.346,-4.364,0,0.0384,114.991,4,https://api.spotify.com/v1/tracks/5aFGo8wHEntVxFI8IF7Wuj,audio_features,spotify:track:5aFGo8wHEntVxFI8IF7Wuj,0.581
0,0.000679,https://api.spotify.com/v1/audio-analysis/0ThYrwnekhJLSJBiGPD1L7,0.493,234476,0.943,0ThYrwnekhJLSJBiGPD1L7,0.00897,4,0.134,-3.321,1,0.0608,96.997,4,https://api.spotify.com/v1/tracks/0ThYrwnekhJLSJBiGPD1L7,audio_features,spotify:track:0ThYrwnekhJLSJBiGPD1L7,0.493
0,0.0033,https://api.spotify.com/v1/audio-analysis/1KqEnSyj7ZFUfN2HddUZMe,0.477,206000,0.955,1KqEnSyj7ZFUfN2HddUZMe,0,0,0.0697,-3.871,1,0.0625,90.525,4,https://api.spotify.com/v1/tracks/1KqEnSyj7ZFUfN2HddUZMe,audio_features,spotify:track:1KqEnSyj7ZFUfN2HddUZMe,0.715
0,0.0151,https://api.spotify.com/v1/audio-analysis/77MbZsDaKvJEizcU36WnMu,0.606,177768,0.679,77MbZsDaKvJEizcU36WnMu,0.000433,2,0.0962,-7.445,1,0.0321,122.016,4,https://api.spotify.com/v1/tracks/77MbZsDaKvJEizcU36WnMu,audio_features,spotify:track:77MbZsDaKvJEizcU36WnMu,0.707
0,0.000839,https://api.spotify.com/v1/audio-analysis/2WRk6RxETSwdsg2dhtnXxc,0.282,161054,0.843,2WRk6RxETSwdsg2dhtnXxc,3.02e-05,11,0.0699,-6.002,0,0.114,175.798,4,https://api.spotify.com/v1/tracks/2WRk6RxETSwdsg2dhtnXxc,audio_features,spotify:track:2WRk6RxETSwdsg2dhtnXxc,0.418
0,6.55e-05,https://api.spotify.com/v1/audio-analysis/3VYgUNGdcQwfjDukoYkFWf,0.515,258640,0.725,3VYgUNGdcQwfjDukoYkFWf,0.000105,2,0.0864,-5.523,0,0.0289,139.971,4,https://api.spotify.com/v1/tracks/3VYgUNGdcQwfjDukoYkFWf,audio_features,spotify:track:3VYgUNGdcQwfjDukoYkFWf,0.168
0,0.00207,https://api.spotify.com/v1/audio-analysis/2NTDt9Fiqp5wTBM6cLO6Bu,0.515,324787,0.752,2NTDt9Fiqp5wTBM6cLO6Bu,2.5e-06,9,0.129,-1.853,0,0.0336,83.541,4,https://api.spotify.com/v1/tracks/2NTDt9Fiqp5wTBM6cLO6Bu,audio_features,spotify:track:2NTDt9Fiqp5wTBM6cLO6Bu,0.503
0,0.0102,https://api.spotify.com/v1/audio-analysis/1JPCnWqXrHSkBGg4dCzGe6,0.373,207360,0.83,1JPCnWqXrHSkBGg4dCzGe6,0.861,1,0.152,-7.444,0,0.0901,144.924,4,https://api.spotify.com/v1/tracks/1JPCnWqXrHSkBGg4dCzGe6,audio_features,spotify:track:1JPCnWqXrHSkBGg4dCzGe6,0.44
0,0.0219,https://api.spotify.com/v1/audio-analysis/4g00OB03RioIl1GnWZyZCi,0.546,200800,0.875,4g00OB03RioIl1GnWZyZCi,7.46e-06,2,0.113,-4.605,1,0.0515,164.186,4,https://api.spotify.com/v1/tracks/4g00OB03RioIl1GnWZyZCi,audio_features,spotify:track:4g00OB03RioIl1GnWZyZCi,0.372
0,0.00108,https://api.spotify.com/v1/audio-analysis/5T38ywOoK6b29fpbTrhwx3,0.367,224307,0.877,5T38ywOoK6b29fpbTrhwx3,1.08e-05,7,0.351,-3.92,1,0.109,157.68,4,https://api.spotify.com/v1/tracks/5T38ywOoK6b29fpbTrhwx3,audio_features,spotify:track:5T38ywOoK6b29fpbTrhwx3,0.395
0,0.0247,https://api.spotify.com/v1/audio-analysis/02Msss3kY3GSGgeY8oUGMF,0.542,181868,0.682,02Msss3kY3GSGgeY8oUGMF,0,6,0.489,-6.285,1,0.0284,79.978,4,https://api.spotify.com/v1/tracks/02Msss3kY3GSGgeY8oUGMF,audio_features,spotify:track:02Msss3kY3GSGgeY8oUGMF,0.758
0,0.0664,https://api.spotify.com/v1/audio-analysis/4qHSciBVrNNpUlI8TT9CHQ,0.698,214267,0.736,4qHSciBVrNNpUlI8TT9CHQ,2.16e-05,2,0.119,-5.525,1,0.0481,127.979,4,https://api.spotify.com/v1/tracks/4qHSciBVrNNpUlI8TT9CHQ,audio_features,spotify:track:4qHSciBVrNNpUlI8TT9CHQ,0.822
0,0.000867,https://api.spotify.com/v1/audio-analysis/7eCAgDNP4jjENdSm1F08wA,0.52,240572,0.981,7eCAgDNP4jjENdSm1F08wA,0.00177,2,0.197,-2.75,1,0.0906,158.937,4,https://api.spotify.com/v1/tracks/7eCAgDNP4jjENdSm1F08wA,audio_features,spotify:track:7eCAgDNP4jjENdSm1F08wA,0.633
0,0.0944,https://api.spotify.com/v1/audio-analysis/7MjRtWS2teufvOiMM0BARZ,0.593,234427,0.781,7MjRtWS2teufvOiMM0BARZ,2.23e-06,0,0.173,-5.472,1,0.0285,119.522,4,https://api.spotify.com/v1/tracks/7MjRtWS2teufvOiMM0BARZ,audio_features,spotify:track:7MjRtWS2teufvOiMM0BARZ,0.657
0,0.0185,https://api.spotify.com/v1/audio-analysis/7dNDyDsDdN2X2n0cWIon5e,0.5,219721,0.675,7dNDyDsDdN2X2n0cWIon5e,0.0152,9,0.201,-9.166,1,0.043,122.813,4,https://api.spotify.com/v1/tracks/7dNDyDsDdN2X2n0cWIon5e,audio_features,spotify:track:7dNDyDsDdN2X2n0cWIon5e,0.614
0,0.516,https://api.spotify.com/v1/audio-analysis/5MJxg5oxXXTXb2iJt6BmYu,0.604,141093,0.665,5MJxg5oxXXTXb2iJt6BmYu,6.77e-06,5,0.0766,-7.981,1,0.305,84.691,4,https://api.spotify.com/v1/tracks/5MJxg5oxXXTXb2iJt6BmYu,audio_features,spotify:track:5MJxg5oxXXTXb2iJt6BmYu,0.48
0,0.000436,https://api.spotify.com/v1/audio-analysis/2yX9z46JItbv2BP5cr79zb,0.539,159814,0.91,2yX9z46JItbv2BP5cr79zb,0.00183,1,0.132,-5.722,1,0.05,129.904,4,https://api.spotify.com/v1/tracks/2yX9z46JItbv2BP5cr79zb,audio_features,spotify:track:2yX9z46JItbv2BP5cr79zb,0.574
0,0.00109,https://api.spotify.com/v1/audio-analysis/1kdKw9kOzfBglaRbF0NUsV,0.448,316453,0.847,1kdKw9kOzfBglaRbF0NUsV,0.0763,5,0.102,-5.369,1,0.0473,146.036,4,https://api.spotify.com/v1/tracks/1kdKw9kOzfBglaRbF0NUsV,audio_features,spotify:track:1kdKw9kOzfBglaRbF0NUsV,0.118
0,0.00257,https://api.spotify.com/v1/audio-analysis/45HAjqRWiNv6mMPw4NvZrU,0.447,193714,0.788,45HAjqRWiNv6mMPw4NvZrU,1.68e-05,2,0.0744,-4.994,0,0.0464,80.04,4,https://api.spotify.com/v1/tracks/45HAjqRWiNv6mMPw4NvZrU,audio_features,spotify:track:45HAjqRWiNv6mMPw4NvZrU,0.505
0,0.00657,https://api.spotify.com/v1/audio-analysis/4I9qjUCx8jFQkFFi5Eyt5x,0.571,188056,0.81,4I9qjUCx8jFQkFFi5Eyt5x,0.00544,0,0.253,-4.823,1,0.0588,128.163,4,https://api.spotify.com/v1/tracks/4I9qjUCx8jFQkFFi5Eyt5x,audio_features,spotify:track:4I9qjUCx8jFQkFFi5Eyt5x,0.505
